941
305, 575
183, 152
271, 599
261, 633
163, 212
337, 637
583, 269
206, 188
177, 138
333, 604
292, 612
554, 268
567, 262
620, 267
584, 199
289, 641
553, 241
290, 596
242, 132
293, 667
597, 213
569, 255
211, 227
315, 612
242, 179
600, 264
305, 686
201, 176
181, 184
592, 239
289, 589
312, 635
600, 259
287, 632
330, 633
516, 268
302, 651
575, 238
588, 250
271, 642
181, 163
521, 311
186, 142
171, 193
225, 196
190, 187
244, 143
182, 164
607, 201
193, 194
344, 656
276, 670
180, 192
300, 657
573, 292
586, 226
174, 161
318, 647
218, 218
112, 147
256, 204
246, 626
576, 230
179, 142
321, 626
568, 236
230, 665
593, 204
580, 220
283, 590
543, 266
575, 214
559, 240
573, 269
557, 257
360, 585
280, 634
222, 160
558, 265
560, 255
589, 234
288, 580
564, 283
297, 647
287, 595
596, 257
182, 193
569, 291
308, 556
289, 597
177, 173
566, 235
186, 208
264, 638
304, 611
281, 628
603, 269
350, 643
314, 643
501, 225
574, 279
154, 209
347, 621
565, 219
177, 190
331, 607
339, 607
296, 607
219, 198
575, 264
147, 140
190, 149
177, 161
348, 631
258, 639
342, 638
164, 197
381, 627
565, 265
166, 180
573, 221
566, 247
198, 177
572, 214
610, 239
206, 136
599, 220
306, 663
597, 281
318, 621
200, 167
558, 253
337, 620
596, 269
614, 231
578, 278
607, 225
571, 252
567, 236
231, 210
338, 636
337, 664
288, 685
340, 639
293, 618
557, 287
598, 229
174, 186
333, 657
218, 190
161, 157
359, 598
306, 662
342, 624
588, 273
560, 269
193, 156
142, 135
356, 633
163, 173
579, 296
201, 183
600, 216
634, 240
284, 579
199, 205
586, 256
196, 154
236, 142
309, 584
338, 628
582, 248
295, 674
309, 611
619, 243
550, 218
586, 204
611, 263
578, 228
597, 233
241, 146
189, 166
177, 190
567, 308
606, 251
542, 230
600, 255
272, 630
354, 640
592, 232
361, 605
577, 225
293, 657
301, 653
546, 269
362, 660
277, 611
555, 205
212, 202
326, 608
302, 669
263, 648
155, 169
576, 253
270, 634
276, 633
608, 279
324, 600
315, 618
189, 143
182, 150
146, 186
176, 158
327, 611
584, 289
350, 625
319, 636
365, 603
291, 613
585, 292
589, 279
262, 624
348, 668
171, 193
180, 183
320, 581
547, 200
609, 279
546, 212
624, 230
571, 281
573, 209
302, 623
210, 155
289, 646
318, 599
329, 630
124, 169
328, 619
555, 215
150, 187
324, 621
293, 631
153, 182
530, 208
220, 170
554, 243
201, 175
298, 600
240, 145
308, 614
571, 263
272, 609
144, 221
300, 622
300, 638
133, 178
558, 238
187, 127
332, 631
151, 160
179, 199
578, 250
606, 254
612, 263
252, 187
602, 233
333, 676
344, 629
246, 165
343, 620
266, 631
526, 243
205, 197
205, 210
163, 179
582, 244
315, 594
188, 178
190, 175
318, 638
538, 245
289, 638
185, 205
255, 179
176, 177
155, 176
159, 171
195, 157
317, 630
181, 209
553, 275
319, 630
147, 174
280, 668
165, 168
324, 613
357, 642
557, 269
305, 654
158, 161
189, 136
164, 191
161, 203
272, 588
309, 652
552, 296
327, 592
143, 155
149, 151
565, 285
581, 168
507, 290
335, 650
187, 154
142, 195
150, 186
273, 626
211, 134
317, 610
554, 253
240, 624
565, 291
568, 218
542, 199
135, 200
621, 243
211, 152
179, 195
551, 195
244, 202
574, 256
561, 255
230, 224
216, 180
536, 269
595, 257
166, 154
627, 236
161, 211
325, 582
174, 207
197, 132
569, 268
145, 129
311, 615
546, 265
318, 652
174, 164
188, 194
598, 267
357, 640
287, 630
565, 254
300, 617
301, 606
214, 152
544, 190
603, 239
568, 247
170, 187
600, 282
601, 250
194, 173
277, 620
302, 632
293, 625
201, 165
218, 183
329, 628
264, 640
543, 216
556, 263
550, 242
586, 241
307, 603
305, 623
565, 251
568, 221
281, 624
299, 601
295, 630
186, 210
590, 250
235, 186
569, 257
257, 669
171, 143
136, 224
332, 619
194, 147
172, 175
166, 232
276, 637
280, 618
562, 209
215, 178
210, 166
292, 635
188, 145
326, 640
279, 618
553, 195
144, 152
317, 638
279, 601
227, 186
277, 624
182, 173
315, 616
307, 625
152, 195
269, 599
218, 130
201, 196
341, 664
156, 179
296, 568
324, 663
217, 151
204, 180
177, 157
575, 233
332, 617
153, 170
560, 203
550, 187
353, 645
171, 172
551, 251
193, 146
343, 650
208, 177
592, 237
530, 197
287, 597
326, 612
273, 595
306, 625
561, 244
562, 276
176, 192
293, 584
564, 267
318, 640
541, 247
211, 134
576, 213
195, 194
567, 255
334, 650
272, 580
182, 206
319, 592
557, 279
569, 212
176, 167
575, 211
289, 599
601, 262
314, 601
203, 187
282, 574
209, 151
292, 594
193, 163
603, 249
181, 142
575, 228
264, 612
561, 210
563, 232
306, 647
283, 675
314, 648
289, 608
270, 605
214, 224
295, 582
